Linkedin URL,Website,Company Name,Employee Count,Follower Count
https://www.linkedin.com/company/plus-foundry,,,,
https://www.linkedin.com/company/top-trade,http://toptrade.com.pk,Top Trade,,
https://www.linkedin.com/company/pep-partnership-llp,http://www.pep-partnership.co.uk,PEP Partnership LLP,"[1, 10]",
https://www.linkedin.com/company/dyhard-productions-ltd,http://www.dyhardproductions.com,DyHard Productions Ltd,"[1, 10]",10
https://www.linkedin.com/company/aloha-airlines,http://www.alohaairlines.com,Aloha Airlines,"[1001, 5000]",
https://www.linkedin.com/company/ephrata-foursquare-church,,Ephrata Foursquare Church,"[1, 10]",
https://www.linkedin.com/company/a-candle-in-the-night-inc,http://www.acandleinthenight.com,A Candle In The Night Inc,"[1, 10]",7
https://www.linkedin.com/company/avanzaenred-com,,avanzaenred.com,"[1, 10]",6
https://www.linkedin.com/company/puente-hills-pontiac-gmc-buick,,Puente Hills Pontiac GMC Buick,"[1, 10]",4
https://www.linkedin.com/company/vrp-hill-knowlton-strategies,,,,
https://www.linkedin.com/company/oak-tree-software-inc,http://www.oaktreesw.com,Oak Tree Software Inc,"[11, 50]",8
https://www.linkedin.com/company/brandvibes-media,http://brandvibesmedia.com/,BrandVibes Media,"[1, 10]",12
https://www.linkedin.com/company/alexander-van-berge-photography,http://www.alexandervanberge.nl,alexander van berge photography,"[1, 10]",
https://www.linkedin.com/company/atplab,http://www.atplab.it,ATPLAB,"[1, 10]",
https://www.linkedin.com/company/cadelle-leather,http://www.shop.cadelleleather.com.au,Cadelle Leather,"[11, 50]",92
https://www.linkedin.com/company/co-bikes,http://www.co-bikes.co.uk,Co Bikes,"[11, 50]",51
https://www.linkedin.com/company/orthovita,http://www.orthovita.com,Orthovita,"[51, 200]",2797
https://www.linkedin.com/company/westech-associates,http://www.westechassociates.com,Westech Associates,"[1, 10]",
https://www.linkedin.com/company/jagiello-design-house,,Jagiello Design House,,
https://www.linkedin.com/company/nutrition-hub,http://www.nutrition-hub.com,NUTRITION HUB,"[1, 10]",5764
https://www.linkedin.com/company/mats-minerals-&-logistics-p-ltd.,,,,
https://www.linkedin.com/company/giveo,,,,
https://www.linkedin.com/company/memsensing-microsystems-co.-ltd.,http://www.MEMSensing.com,"MEMSensing Microsystems Co., Ltd.","[11, 50]",
https://www.linkedin.com/company/nektar-therapeutics,http://www.nektar.com,Nektar Therapeutics,"[501, 1000]",18568
https://www.linkedin.com/company/eagle-translations,http://www.eagletranslations.nl,Eagle Translations,,146
https://www.linkedin.com/company/bethany-baptist-chapel,http://www.bethanybaptistchapel.org,Bethany Baptist Chapel,"[1, 10]",2
https://www.linkedin.com/company/kenya-private-investigator,http://kenyaprivateinvestigator.com,Kenya Private Investigator,"[11, 50]",286
https://www.linkedin.com/company/india-restaurant-tandoori-taste-und-catering-e-k-,http://www.tandoori-taste.de,India Restaurant Tandoori Taste und Catering e.K.,"[1, 10]",47
https://www.linkedin.com/company/robb-grindstaff-editing,http://www.robbgrindstaff.com,Robb Grindstaff Editing,"[1, 10]",
https://www.linkedin.com/company/adults-with-developmental-disabilities-add-,,Adults With Developmental Disabilities (ADD),"[11, 50]",18
https://www.linkedin.com/company/affinity-capital-advisors,,,,
https://www.linkedin.com/company/zip-news,,,,
https://www.linkedin.com/company/led-electronics-ug-haftungsbeschränkt,,,,
https://www.linkedin.com/company/outback-kayak-co,,Outback Kayak Co,"[1, 10]",1
https://www.linkedin.com/company/joseph-joe-b.-benintende-iii-music-composition,,"Joseph ""Joe B."" Benintende III Music Composition",,
https://www.linkedin.com/company/delos-international-inc,http://www.delosmusic.com,Delos International Inc,"[1, 10]",1
https://www.linkedin.com/company/crafts-n-things,,Crafts N Things,"[11, 50]",3
https://www.linkedin.com/company/sangam-weavers-&-apparels-pvt-ltd---india,,,,
